0 -0.48358836 -0.17808496 0.37480544
100 -0.45810907 -0.06227226 10.36188976
200 -0.40019784 -0.11841608 8.30820326
300 -0.42471135 -0.09235965 8.62741292
400 -0.46860171 0.01203630 22.97262152
500 -0.40230268 -0.11224674 8.62270046
600 -0.51745867 -0.10763046 4.41846872
700 -0.40868382 -0.15272899 5.28659623
800 -0.51680572 -0.09619168 5.52929954
900 -0.39009825 -0.04635857 17.84204143
1000 -0.41733791 -0.08855953 9.62599940
1100 -0.44338434 -0.09751002 6.85476428
1200 -0.40258506 -0.01142771 22.52458962
1300 -0.45396167 -0.06367038 10.35264696
1400 -0.45027226 -0.08806539 7.50110299
1500 -0.36280901 -0.10576976 13.85035255
1600 -0.47754239 -0.11106106 4.20724020
1700 -0.38460364 -0.06296711 16.04716674
1800 -0.40625150 -0.13846031 6.28795730
1900 -0.43853161 -0.11032779 5.90973375
2000 -0.42027143 -0.09254780 8.95130979
2100 -0.43913937 -0.10581185 6.28771207
2200 -0.47272374 -0.13456379 2.51294603
2300 -0.44859601 -0.09374719 6.96601438
2400 -0.39801851 -0.06986912 13.66713437
2500 -0.43226758 -0.14158242 4.00014680
2600 -0.42906898 -0.13565604 4.58567713
2700 -0.50851541 -0.12925560 2.53864108
2800 -0.43445730 -0.08869883 8.34189792
2900 -0.49084550 -0.10425655 4.62530694
3000 -0.47465921 -0.05503058 10.82914454
3100 -0.42629200 -0.08390729 9.45519413
3200 -0.48810516 -0.05733447 10.24747069
3300 -0.40506469 -0.10577843 8.94520875
3400 -0.46257996 -0.10744233 4.98359073
3500 -0.46569014 -0.10082686 5.50623884
3600 -0.44802228 -0.12446222 4.20381999
3700 -0.43404435 -0.08146907 9.19986496
3800 -0.46257762 -0.11330901 4.45788135
3900 -0.40858799 -0.09208925 10.00044256
4000 -0.48600243 -0.08325874 6.91222656
4100 -0.47210126 -0.06107130 10.03976148
4200 -0.41539932 -0.13745695 5.53445378
4300 -0.43099513 -0.11937189 5.63128171
4400 -0.44499331 -0.10994757 5.56758779
4500 -0.50484012 -0.10694062 4.34173707
