0 0.16538332 0.02137489
100 -0.21604396 0.49941892
200 -0.17038414 0.36553793
300 -0.45617221 1.54663763
400 0.00086238 0.04914134
500 0.21507539 0.06621173
600 0.50754626 0.83046977
700 0.42727240 0.53553610
800 0.53764924 0.95768427
900 0.48833396 0.75401634
1000 0.47658353 0.70907579
1100 0.41793786 0.50542241
1200 0.06869758 0.00489921
1300 0.23671484 0.09345474
1400 0.05950192 0.00820047
1500 -0.00562100 0.05577898
1600 0.20499441 0.05511913
1700 0.34406704 0.29784359
1800 0.55549794 1.03739186
1900 0.55601176 1.03973365
2000 0.57749162 1.13999122
2100 0.40916908 0.47792761
2200 -0.02003096 0.07203715
2300 0.00774722 0.04255288
2400 0.29110556 0.18260667
2500 0.53586966 0.94991182
2600 0.20870995 0.05908927
2700 0.37553136 0.37958765
2800 0.48281967 0.73275450
2900 0.51437931 0.85855104
3000 0.56459071 1.07922266
3100 0.67282099 1.64061944
3200 0.43649031 0.56612864
3300 0.64483674 1.48423534
3400 0.40013904 0.45041721
3500 0.45884757 0.64385787
3600 0.19653209 0.04659223
3700 -0.45692348 1.55081879
3800 0.19097582 0.04138300
3900 0.26336280 0.13343702
4000 0.11869561 0.00174763
4100 -0.08369496 0.16871919
4200 -0.72180555 3.37682180
4300 -0.07492673 0.15299681
4400 0.00240963 0.04761940
4500 0.06804588 0.00510533
4600 -0.01529913 0.06646945
4700 -0.00934419 0.05978076
4800 0.10090013 0.00000405
4900 -0.13491998 0.27593697
5000 -0.64467454 2.77270089
5100 -0.37075834 1.10806706
5200 0.16306896 0.01988847
5300 -0.69148194 3.13221828
5400 0.09965547 0.00000059
5500 0.03948461 0.01831056
5600 0.11179494 0.00069560
5700 -0.11010571 0.22072205
5800 -0.06127593 0.13004963
5900 0.50065524 0.80262310
6000 0.27637724 0.15554466
6100 0.00047220 0.04952892
6200 0.49257054 0.77055815
6300 0.65786343 1.55605805
6400 0.26636306 0.13838335
6500 0.39922417 0.44767553
6600 0.50208292 0.80835337
6700 0.39114421 0.42382476
6800 0.22489187 0.07798990
6900 0.70057856 1.80347305
7000 0.62719106 1.38965206
7100 -0.00504719 0.05517456
7200 0.32993673 0.26435450
7300 0.40028829 0.45086528
7400 0.31336791 0.22762932
7500 0.00964833 0.04081712
7600 -0.42889443 1.39864657
7700 -0.04212725 0.10100078
7800 0.50946518 0.83830867
7900 0.50803332 0.83245597
8000 0.02151724 0.03079771
8100 0.30388708 0.20784970
8200 -0.03708483 0.09396126
8300 0.30072196 0.20144652
8400 0.53190305 0.93270124
8500 0.49029722 0.76165958
8600 0.30848384 0.21732756
8700 0.30775003 0.21580038
8800 0.01231018 0.03844752
8900 0.76163784 2.18882319
9000 0.73272965 2.00173404
9100 0.48884832 0.75601507
9200 0.04850265 0.01325989
9300 0.49002543 0.76059917
9400 0.20702313 0.05726975
9500 -0.07934738 0.16082741
9600 -0.02137771 0.07366274
9700 0.12463029 0.00303326
9800 -0.03313923 0.08863028
9900 0.04750487 0.01377869
10000 -0.40856130 1.29317298
10100 0.00355191 0.04651117
10200 0.23526116 0.09147791
10300 0.04394196 0.01571252
10400 -0.01066147 0.06122980
10500 -0.23009190 0.54480333
10600 -0.17703604 0.38374482
10700 -0.19089162 0.42308968
10800 0.01798234 0.03363448
10900 -0.33816893 0.95996007
11000 0.25965084 0.12744196
11100 0.24482959 0.10487805
11200 -0.01145616 0.06211238
11300 0.54411134 0.98617442
11400 0.27792369 0.15828420
11500 0.14133955 0.00854479
11600 0.18263034 0.03413887
11700 0.44395665 0.59153088
11800 0.27818879 0.15875623
11900 0.46123748 0.65246259
12000 0.39196632 0.42622166
12100 0.02668798 0.02687326
12200 -0.07902928 0.16025742
12300 -0.01836531 0.07005174
12400 0.62557641 1.38115284
12500 0.48740252 0.75040354
12600 0.51612250 0.86578966
12700 0.47450089 0.70125458
12800 0.50873158 0.83530751
12900 -0.04160850 0.10026483
13000 0.28537420 0.17181796
13100 -0.46929793 1.62050069
13200 -0.07559978 0.15417641
13300 -0.06565875 0.13721411
13400 -0.30360943 0.81450286
13500 -0.03044631 0.08508120
13600 0.48143729 0.72747201
13700 0.20437633 0.05447209
13800 0.26314094 0.13307484
13900 0.45820325 0.64154783
14000 0.20775979 0.05806086
14100 0.09790595 0.00002193
14200 0.00212052 0.04790197
14300 -0.19778197 0.44337050
14400 -0.00012772 0.05012780
14500 -0.12317748 0.24904093
14600 0.01717799 0.03429742
14700 -0.38784300 1.18995394
14800 -0.31277650 0.85192219
14900 -0.02951641 0.08387250
15000 -0.22397904 0.52481209
15100 -0.57355213 2.26836233
15200 0.02067747 0.03146032
15300 -0.05936165 0.12698068
15400 -0.43900449 1.45262922
15500 -0.38047185 1.15426601
15600 -0.07610743 0.15506914
15700 -0.24607293 0.59883237
15800 -0.19957412 0.44872325
15900 0.39379771 0.43158548
16000 -0.12922749 0.26272620
16100 -0.13709001 0.28105835
16200 -0.17223732 0.37056580
16300 -0.44810245 1.50208147
16400 -0.07033970 0.14507806
16500 -0.04905026 0.11107990
16600 0.19465865 0.04480130
16700 -0.17645551 0.38213825
16800 0.16733267 0.02266844
16900 0.00919033 0.04123198
17000 0.53980505 0.96714241
17100 0.51594332 0.86504424
17200 -0.08882136 0.17826752
17300 -0.05397029 0.11853424
17400 0.05015516 0.01242254
17500 0.42846670 0.53945185
17600 0.67568653 1.65707493
17700 0.50469038 0.81887152
17800 -0.30951179 0.83849953
17900 -0.00794849 0.05826438
18000 -0.24905874 0.60921002
18100 -0.23110095 0.54813919
18200 0.01718574 0.03429101
18300 -0.04603776 0.10663513
18400 0.51147787 0.84657018
18500 -0.21671009 0.50152640
18600 0.20045891 0.05045996
18700 0.00088493 0.04911898
18800 0.23548405 0.09177963
18900 0.09451275 0.00015055
19000 -0.10413473 0.20835493
19100 -0.01237669 0.06314260
19200 0.02639130 0.02709120
19300 0.71958272 1.91941373
19400 0.49010045 0.76089180
19500 0.33608371 0.27867759
19600 0.25571551 0.12123661
19700 -0.00235517 0.05238291
19800 -0.24469271 0.59406532
19900 0.00958865 0.04087106
20000 -0.02562612 0.07890960
20100 0.01193512 0.03877711
20200 0.16617778 0.02189749
20300 -0.00544587 0.05559415
20400 -0.10985372 0.22019291
20500 0.02129071 0.03097576
20600 0.19948883 0.04949013
20700 -0.02285484 0.07546656
20800 0.49451800 0.77822228
20900 -0.09706076 0.19416472
21000 -0.04267722 0.10178394
21100 0.21617237 0.06748010
21200 0.00211488 0.04790748
21300 0.05969126 0.00812397
21400 0.17302211 0.02666115
21500 -0.15086458 0.31466518
21600 0.05771783 0.00893891
21700 0.09669168 0.00005472
21800 0.50932791 0.83774669
21900 0.06713755 0.00539970
22000 -0.00961968 0.06008237
22100 0.05049657 0.01225295
22200 -0.01078200 0.06136326
22300 0.03936664 0.01838202
22400 -0.07555842 0.15410380
22500 -0.00843190 0.05878738
22600 -0.00574995 0.05591526
22700 0.09882325 0.00000692
22800 0.31975298 0.24145686
22900 0.00286200 0.04717896
23000 -0.02286137 0.07547459
23100 0.12253690 0.00253956
23200 -0.30346388 0.81391553
23300 -0.00337216 0.05342902
23400 0.02562674 0.02765691
23500 0.03320418 0.02230841
23600 0.41387946 0.49260159
23700 0.16451450 0.02081061
